id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.0001682689922876715,0.0010275714778745883,0.00021532240092189344,-0.003242027259494511,-0.04018979564831093,-0.02609690164275317
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,-0.00011567419231789005,-0.00036339886525443485,-0.00046088164095428987,0.019504673797822107,0.03431627638045678,0.019196299508528483
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.00014973799279002518,0.000574351246818629,0.0005100582411290551,0.09178615944802677,0.10829432028972705,0.11477195771869388
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,-0.0005951536301361763,-0.0006934096840421367,-0.0010116948287113732,0.08242196993368747,0.0884630073256258,0.10637780786723605
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,5.9736831863368295e-05,0.0013900926575853925,0.0002041748801523176,0.036061184844181075,0.03263300520756811,0.038901676543088945
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,-0.00018120244322008522,0.0002921196242742666,-0.0005715632484323899,0.10268495843975739,0.13904907356206828,0.1442188693156384
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,-0.0006438284284143259,-0.0012087817026367508,-0.0007332381688386632,0.07679974346641012,0.1585698252364919,0.11066065034319005
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.00019211348665415382,0.0009024516212589003,0.0008838453117976568,0.042650013313000744,0.09081887057342725,0.07440757146660856
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.00047207042502672193,0.001114032676270074,0.0005051849269031469,0.01014747219955321,0.018769938422731655,0.010543149425855856
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,3.439151534148654e-05,6.503631604500873e-05,2.063568698529989e-05,0.09773495072555095,0.11611440774387788,0.11151954348929614
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,7.327687325715183e-07,0.0006659522517999401,1.8591286191935526e-05,0.004357082735059662,0.04112822036276014,0.03527751646284102
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,-2.3440073332761024e-07,-4.677050941706295e-05,0.00041035695903275714,-0.01502276317880547,-0.04356320872012041,-0.020631760009722264
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,-0.00016203340338393594,-6.298479338527561e-06,0.00018532295056556715,-0.0072511717673007965,0.011883098979873172,0.03379284992188218
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,-0.00010401958742442854,0.0003583140706068757,0.0007455121363031995,-0.005865690266050951,0.023435436420107293,0.015374666411636654
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.0003613615999254659,0.0011554069123813333,0.001892763620230406,0.010586796656448402,0.018686031123842067,0.00810761009765985
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.0002379835340602303,0.0007042728194869709,0.0005827081630165704,0.0727525657325005,0.0752952665229488,0.09561844747848838
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,8.085541951283011e-05,0.00014902358247846452,0.0006547369780405771,0.11411869701026327,0.1453012048192771,0.1286657742079429
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,-6.930080215629391e-05,0.0005369121977487927,0.0004950730176825213,-0.006512777492129639,-0.011672484868165866,-0.028513697579808588
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.00022557830426383902,0.0006329389809947455,0.001330265048938497,0.0759815705128205,0.07471955128205128,0.08058894230769231
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,2.8839359878153132e-05,0.00038575542350333754,0.0007932925278934408,0.05474198047419804,0.07993833957278132,0.056742274095280036
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.0003118314397697255,0.0009420946095082861,0.0008976486231483729,0.015161491392100575,0.01261555479470094,0.03330787396735934
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.0004090214967663372,0.0009817222008889808,0.0011552059167710062,0.009746902164687803,0.02676601181063672,0.042436100167064235
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,-4.2688129167309093e-05,0.000169336809865514,0.00012699506275351622,-0.023706709675181653,0.0030262039782876413,-0.02016891247420356
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.0001015430263904831,0.0005599558287974955,0.0005453299526614007,-0.01134907559948746,0.000895979652591117,-0.0009248822220295371
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,-0.0001597867347438624,4.523800562846259e-05,3.204266956273304e-05,0.11861827198495146,0.2030439057757257,0.15944594074644095
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.00012112628360123256,0.0008049475361731524,0.0009323368475334916,0.047844262585467826,0.08779714457788641,0.045780635561696245
